index,artist,id,title,type,year
0,The Smiths,4639827,The Smiths,LP|Album,1984
0,The Smiths,373240,Meat Is Murder,LP|Album,1985
0,The Smiths,494927,The Queen Is Dead,LP|Album,1986
0,The Smiths,451760,Rank,LP|Album,1988
0,The Smiths,373250,"Strangeways, Here We Come",LP|Album,1987
0,R.E.M.,4480150,Murmur,LP|Album,1983
0,R.E.M.,414720,Reckoning,LP|Album,1984
0,R.E.M.,414722,Fables Of The Reconstruction / Reconstruction Of The Fables,LP|Album,1985
0,R.E.M.,395082,Lifes Rich Pageant,LP|Album,1986
0,R.E.M.,395081,Document,LP|Album,1987
0,R.E.M.,642551,Green,Album,1988
0,R.E.M.,2024524,Out Of Time,LP|Album,1991
0,R.E.M.,1139071,Automatic For The People,Album,1992
0,R.E.M.,1073044,Monster,Album,1994
0,R.E.M.,367404,New Adventures In Hi-Fi,Album,1996
0,R.E.M.,370440,Up,Album,1998
0,R.E.M.,370426,Reveal,Album,2001
0,R.E.M.,367249,Around The Sun,Album,2004
0,R.E.M.,2988010,Live At The Olympia In Dublin 39 Songs,Album,2009
0,R.E.M.,2748648,Collapse Into Now,LP|Album,2011
0,R.E.M.,6044872,Unplugged 1991,LP|Album,2014
0,R.E.M.,6044886,Unplugged  2001,LP|Album,2014
0,R.E.M.,5709347,Unplugged 1991 & 2001 (The Complete Sessions),Album,2014
0,Talking Heads,192870,Talking Heads: 77,LP|Album,1977
0,Talking Heads,7027316,More Songs About Buildings And Food,LP|Album,1978
0,Talking Heads,116489,Fear Of Music,LP|Album,1979
0,Talking Heads,116491,Remain In Light,LP|Album,1980
0,Talking Heads,2156020,The Name Of This Band Is Talking Heads,LP|Album,1982
0,Talking Heads,170719,Speaking In Tongues,LP|Album,1983
0,Talking Heads,266652,Stop Making Sense,LP|Album,1984
0,Talking Heads,224182,Little Creatures,LP|Album,1985
0,Talking Heads,355382,True Stories,LP|Album,1986
0,Talking Heads,266416,Naked,LP|Album,1988
0,Talking Heads,6854001,The Originals,Album|Reissue,1997
0,Blondie,5239953,Blondie,LP|Album,1976
0,Blondie,10509820,Plastic Letters ,LP|Album,1977
0,Blondie,2580199,Parallel Lines,LP|Album,1978
0,Blondie,1130364,Eat To The Beat,LP|Album,1979
0,Blondie,160209,AutoAmerican,LP|Album,1980
0,Blondie,2384150,The Hunter,LP|Album,1982
0,Blondie,2543296,Picture This Live,Album|Limited Edition,1997
0,Blondie,960043,Live,HDCD|Album,1999
0,Blondie,603111,No Exit,Album,1999
0,Blondie,6122193,Live By Request,Album,2004
0,Blondie,3177453,Blondie At The BBC,Album,2010
0,Blondie,2967396,Panic Of Girls,Album|Promo,2011
0,Blondie,5728915,Greatest Hits: Deluxe Redux / Ghosts Of Download,Album,2014
0,Blondie,10262696,Pollinator ,Album,2017
0,Pixies,371355,Surfer Rosa,LP|Album,1988
0,Pixies,2805906,Doolittle,LP|Album|Limited Edition,1989
0,Pixies,664574,Bossanova,LP|Album|Limited Edition,1990
0,Pixies,369383,Trompe Le Monde,Album,1991
0,Pixies,4411901,Surfer Rosa & Come On Pilgrim + Trompe Le Monde,Album,1998
0,Pixies,2739760,"Recorded Live At Voodoo '04, New Orleans, LA",Album,2004
