gastvrouw :  hostess; stewardess; huisvrouw
tío :  menda; tipo; güey; suegro; padrastro
raout :  bombe; fête
Synonym :  Gleichbedeutung
pourparlers :  négociation; tractation
kids :  kinderen
sterk :  krêftich
brize :  amourette
friandise :  sucrerie; mignardise
wand :  magic wand
pinte :  baron; demi; chope; sérieux
want :  aangesien; omdat; would like; need; lack
biaiser :  obliquer; feinter; louvoyer; ruser
CFA :  CEI; conduite en état d'ivresse
en rang d’Oignon :  en file indienne; à la file indienne; à la queue leu-leu; Placement sur une seule ligne
peul :  foulbé; fulfulde; fulfuldé; pulaar; poular
fit :  proper; suitable
se tromper :  se méprendre; se foutre dedans; se gourer; se planter; se fourrer le doigt dans l’œil; se mettre le doigt dans l’œil
de travers :  de biais; en biais; de traviole; oblique; de biais; en biais; de bisangoin; parler gaga; obliquement; de guingois
furie :  dragon; gendarme; gorgone; grognasse; harengère; harpie; maritorne; mégère; tricoteuse
prendre la poudre d’escampette :  prendre ses jambes à son cou
íba :  -búkola
risiblement :  drôlement; ironiquement; ridiculement
mason :  freemason
Niger :  fleuve Niger; Dhioliba; Djoliba
extrêmement :  très; comme tout
service :  prestation
korting :  reductie
apathique :  fatigué; mou; indolent; amorphe; impassible
afición :  inclinación; amor; hobby; distracción; afinidad; recreo; gusto; tendencia; pasatiempo; interés; apego; propención; ahínco; empeño
hymen :  hyménée; noce; maagdenvlies; blána
schrijden :  lopen; gaan
affaire :  tâche; aangelegenheid; ding; zaak
pour que :  afin que; à l’effet de; en vue de
se masturber :  aller voir la veuve poignet; aller voir madame cinq doigts; border l’insomniaque; cirer la tige; cirer le pingouin; contribuer au chiffre d’affaires de Kleenex; effeuiller le baobab; étrangler le borgne; faire cracher le python; faire pleurer le petit jésus; mettre du ketchup sur sa frite; moucher le cyclope; polir le mât; s’astiquer le chinois; s’astiquer le manche; s’astiquer le missile; s’astiquer le poireau; se battre les couilles en neige; se branler; se cirer le manche; se crosser; se dégorger le poireau; se faire reluire; se faire une soirée magnéto-sopalin; se graisser le salami; auto-érotisme; se lustrer l'asperge; se manuéliser; se palucher le poireau; se passer un poignet; se pignoler; se pogner le bat; se poignarder comme un chien; se polir le chinois; se raboter le gourdin; se reluire le bibelot; se séguer; se taper sur la colonne; se taper une queue; se tirer sur la nouille; se queuter; tirer sur l’élastique; zapper sur manuel; se toucher la nouille; se doigter; tourner la salade; tourner le bouton tout rond; se trifouiller le lardon; se tripoter le millefeuille; se jouer une fugue pour soissonnais rose
honteusement :  abjectement; bassement
béké :  Blanc créole; Blanc créole
leren :  studeren; horen; onderwijzen; bijbrengen
kapitaal :  fonds; fortuin; vermogen; bezit; geld; financiëmiddelen
anlangen :  eintreffen; hinkommen; angehen; betreffen; anfassen; berühren; antasten
incorruptibilité :  droiture; honnêteté; intégrité; probité
quarante :  immortel
haïr :  fuir; honnir; maudire; répugner
-ster :  -eer; -ist; -or
désigner :  montrer
basque :  basquais; euscarien; euskarien; basconade; euskara; pan
à mort :  mort à; à bas; au poteau
empattement :  base
confiance :  fiance; foi; sûreté
hond :  hand
provinciale :  provincialotto
peindre :  badigeonner; barbouiller; barioler; peinturer; Enduire de couleur
marcher :  avancer; aller; fonctionner
academic :  academical
braye :  broye
hay :  taax
has :  alhas
barrière de sécurité :  coupe-feu; pare-feu
barcode :  streepjescode
binden :  aaneensluiten; aansluiten; inbinden; vastbinden; vastmaken; verbinden; verdichten
chemisch :  scheikundig
attendu que :  étant donné que; eu égard à
altitude :  élévation; hauteur; alto; altura; eminência
tama :  gangan; dundun; kalangu; odondo; lunna; karangou; kalangou; tambour parlant; gawali; hustó; tamá; tamà; wastô
singulier :  différent; original; particulier; rare; unique; exceptionnel; extraordinaire; particulier; extraordinaire
hêtre :  fayard; foyard; fouteau
verde :  verdi; smeraldo; immaturo; acerbo; ecologico; parco; ecologista
юнга :  морячок
hobereau :  faucon hobereau
écorage :  scoring
pareillement :  de la même manière; de même; également; semblablement
giftig :  vergiftig; toxisch; venijnig; gemeen
excuseren :  pardonneren; zich verontschuldigen
alors que :  tandis que; cependant que
figurativement :  allégoriquement
chair :  barbaque; bidoche; carne; viande; carnation
pluricellulaire :  multicellulaire; polycellulaire
dépotage :  dépotement
knapsack :  backpack
exact :  juist; net; pal; precies; scherp; vlak
aanbeveling :  aanprysing
desafío :  reto; lance; desafiación; bravata; oposición; provocación; duelo; lucha; rivalidad; competencia
duplicaat :  afschrift; kopie
préservatif :  talisman; amulette; capote; capote anglaise; condom
Mg :  t; tonne
herpétologue :  erpétologiste; herpétologiste
fonction logistique :  courbe logistique
August :  Karschnatz
salaire :  paie; rétribution
anfassen :  anlangen; anrühren
rangement :  tri; triage
schließlich :  letztendlich; schlussendlich; zuletzt
apostat :  défroqué
litre :  cadil; décimètre cube
gebruik :  benut; benuttig; gewoonte
atavisme :  atavus; hérédité
décintrement :  décintrage
voilier :  bateau à voile; bateau à voiles; navire à voiles; poisson-voilier
ailerette :  ailette de bout d’aile
frangier :  franger
superbement :  admirablement; merveilleusement; prodigieusement
salade :  mensonge; hâblerie; baratin; boniment; pipeau; slaatje
wegen :  aufgrund
internet :  web
one :  takutai
tevreden :  vergenoegd; voldaan; content
Индия :  Бхарат; Хиндустан; Индия Республиката; Индия Республикасы; Индия Республика; Индиянь республик; Бхарат; Хиндустан; [[Республика Индия
à travers :  au travers de
météorologue :  météorologiste
illness :  disease
picorage :  cueillette de cerises
verpakking :  omverpakking; afdichting
zoo :  jardin animalier; jardin animé; jardin d’acclimatation; jardin d’animaux; jardin zoologique; ménagerie; parc animalier; parc d’acclimatation; parc d’animaux; parc zoologique; zooparc; zoorama; jardin zoologic
buffet :  crédence; dressoir; bar; tapkast; cafetaria; snelbuffet; kast
pour pénitence :  en pénitence
anguria :  cocomero; melone d'acqua
Frucht :  Obst
велосипед :  колело; велик; вел; лисапед; бицикл; точак
kilometer :  kilometro
bibliophile :  bookworm
pilori :  cangue
baden :  een bad nemen; zwemmen
de concert :  conjointement; ensemble; de conserve
abacorar :  acaparar; hostigar; perseguir; acosar; avasallar; rendir; sojuzgar; someter; supeditar
хрип :  хрипение
blanchir :  azurer
gaieté :  allégresse; enjouement; entrain; joie; jovialité; jubilation
十月 :  神無月
pomme d’amour :  pomme de tire
hermaphrodite :  amphigame; bisexué
télécommande :  commande à distance; zappette
otto :  nosto
bastringue :  bal; bazar
polonais :  langue de Mickiewicz; lapin hermine; hermine
suma :  summa; ilość; sma; součet
arroi :  apparat
au contraire :  bien au contraire; tout au contraire
druppel :  drupje
graag :  gaarne
mathématiques :  maths
mettre tous les œufs dans le même panier :  mettre tous ses œufs dans le même panier
écume de mer :  magnésite; giobertite
Nb :  Cb
rosso :  porpora; rubino; communista; porpora; rubino; tuorlo; communista
allemand :  langue allemande; langue de Goethe; langue des chevaux; boche; chleu; doryphore; frisé; fritz; germain; germanique; teuton; teutonique; tudesque; vert-de-gris
confiture :  confiote
dormir :  sommeiller; adomecerse; dormitar; descansar; soñar; reposar; pernoctar; yacer; acortarse
à vol d’oiseau :  à vue d’oiseau
rust :  kalmte; stilstand; vrede; orde; slaap; slaperigheid; stilte; pauze; halftime
jargon :  charabia; langue de bois; sabir; verbiage; sociolecte
écrivain :  auteur; homme de lettres; littérateur; gribouri; eumolpe de la vigne
rusé :  filou; malin; ratoureux; sournois
kilogram :  kilo; kilo; kilo; kilo
bauge :  appartement; bordel; bouge; gîte; repaire; soue; souille; tanière; taudis; torchis
excessivement :  abusivement; comme c’est pas permis; extrêmement; fort; furieusement; immodérément; incroyablement; monstrueusement; outrageusement; terriblement; trop
découpage :  découpement; morcelage
nord :  septentrion; boréal; septentrional; norte
Stambouliote :  Istanbuliote; Istanbouliote
lágrima :  gota; llanto; lloro; vino de lágrimas; sollozo; lloriqueo; gimoteo; lamento; queja; humor; bágoa; bagulla
smalt :  bleu d’azur; bleu d’émail; verre de cobalt; safre
sani :  bonfarti; uqi
réglé :  menstruée; régulé
palatal :  palatin
palmier à huile :  palmier à huile d'Afrique; éléis de Guinée; palmiste
гид :  проводник; путеводитель; бедекер; вадемекум
november :  slagtemåned; oktober; december; vintermånad
bring up :  raise
aide mutuelle :  soutien logistique mutuel
sédimentologie :  pétrologie sédimentaire
mort :  camarde; décès; défunction; dernier souffle; dernier soupir; disparition; extinction; fin; repos éternel; trépas; avoir vécu; décédé; défunt; n’être plus; six pieds sous terre; trépassé; fourbu; devenir invisible; incommunicado; injoignable; porté disparu
blijven :  doorgaan; doorzetten; handhaven; vasthouden
mora :  more; duch; zmora
opalin :  irisé; blanchâtre; laiteux; opalescent
door :  car door
doos :  boks
捌 :  八
letton :  lette
гриб :  губа; губьё
se coucher :  aller au lit; se mettre au lit
lograr :  alcanzar; conseguir; obtener
respective :  corresponding; relevant; specific
woordenboek :  naslagwerk; dictionaire
фазан :  салага; черпак
contrôle thermique :  régulation thermique
en bloc :  en gros; en entier
payse :  blonde; fiancée; petite amie; promise
installer :  disposer; mettre en place; placer
idole :  déité; Dieu; dieu
日 :  dimanche; 日本
autrui :  les autres
galego :  galiziera
comprendre :  entendre; entraver; piger; saisir; incloure; entendre
paire :  couple
nécessairement :  absolument; assurément; certainement; fatalement; forcément; immanquablement; incontestablement; indispensablement; indubitablement; inéluctablement
aérostier :  aéronaute; ballonier
ilium :  ilion; os ilium
près de :  proche de; lès
Замбия :  Република Замбия; Замбия Республиката
narquoisement :  ironiquement; sardoniquement; malicieusement; moqueusement
blond :  jaune; doré; ljus
virus :  ultravirus
allié :  affin; coalisé
affin :  allié
avoiner :  abrutir; entailler
Base :  Cousine; Vetterin; Tante
cassette :  coffret
avorteur :  faiseur d’ange
fuligineux :  noirâtre
abstrus :  abscons; abstrait; ésotérique; mystérieux; obscur
beli :  jur beli; esti; bela; membeli
belo :  marc'h-houarn; bem parecido; bonito; formoso; pulcro
olla :  pot; cacerola; cazo; marmita; perol; pote; puchero; vasija; cocido; guiso; pote; puchero; tolvanera; torbellino; vorágine; Marmite; Pot-au-feu; Remous
bela :  membela
presser :  forcer; contraindre
lade :  la
von :  durch; über; -s
tubabukan :  faransikan
vos :  politesse; tú; usted; vosautres; bos
候 :  守候
s’en mordre les doigts :  se bouffer les couilles
perdurer :  rester; survivre
cordon :  lacet
Franc :  Francon
gnose :  gnosticisme
dolomite :  chaux carbonatée aluminifère; chaux carbonatée magnésifère; chaux carbonatée lente; codazzite; lucullane; magnésiocalcite; magnésiodolomite; miémite; muricalcite; picrite; spath magnésien; spath perlé; tharandite
tâta-cul de polaille :  tatasse; tatasse-mes-glaines
fastueusement :  grandement; pompeusement; somptueusement; luxieusement
casse-noix :  casse-noisette
obligé :  obligatoire
eventueel :  denkbaar; mogelijk; mogelijkerwijs
书 :  图书
char :  char allégorique; auto; automobile; bagnole; caisse; voiture; charlady; charwoman; tea
chas :  kon
extraordinairement :  fantastiquement; follement; prodigieusement; curieusement; excessivement
Taschenrechner :  Gehirnprothese; Rechner
pas mal :  pas pire; bien
boucle en épingle à cheveux :  épingle à cheveux; structure en épingle à cheveux
филиал :  отделение
portante :  grosse; pleine
vliegtuig :  toestel; vliegmachine
pioche :  pic
incroyablement :  drôlement; excessivement; extrêmement; fabuleusement; formidablement; terriblement; épatamment
raisonnablement :  logiquement; rationnellement
écume de terre :  écume printanière; crachat de coucou; crachat de grenouille
ambre :  agatite; ambre gris; ambre jaune; carabé; succin; karabé
gezellig :  aangenaam; genoeglijk; harmonieus; huiselijk; knus; sfeervol
humus :  compost; sol; terre; terreau; tellus; terra; teelaarde
baba :  abasourdi; bouche bée; ébahi; sur le cul; babetjie
Gegenwort :  Antonym
cliente :  acquirente; compratore; compratrice
