id,type,question,answer,answer_value,statements
1756,factoid,When is Fashion week in NYC?,Sept?(ember)?|Feb(ruary)?,February,Fashion week in NYC is in February 
1434,factoid,What site did Lindbergh begin his flight from in 1927?,Long Island|New\s?York|Roosevelt Field,Roosevelt Field,Roosevelt Field  site did Lindbergh begin his flight from in 1927
1790,factoid,What country is the holy city of Mecca located in?,Saudi Arabia,Saudi Arabia,Saudi Arabia  country is the holy city of Mecca located in
1992,factoid,How hot is the sun?,"(5,?778|6,?[05]00)\s*K|(5,?505|6,?[50]00).*C|(9,?941|10,?000).*F|5778\.0",5778.0,the sun is  5778.0 hot
2128,factoid,What flavor filling did the original Twinkies have?,banana,banana,banana  flavor filling did the original Twinkies have
1840,factoid,What is the state song of Kansas?,Home on the Range,Home on the Range,Home on the Range is the state song of Kansas
1689,factoid,"What war is connected with the book ""Charge of the Light Brigade""?",Crimean,Crimean,Crimean  war is connected with the book `` Charge of the Light Brigade ''
10040,factoid,Where was the first atomic bomb detonated?,White Sands|New Mexico,New Mexico,the first atomic bomb detonated  in New Mexico 
1647,factoid,What continent is Scotland in?,Europe,Europe,Europe  continent is Scotland in
1808,factoid,What island did the U.S. gain after the Spanish American war?,Cuba|Guam|Puerto Rico,Puerto Rico,Puerto Rico  island did the U.S. gain after the Spanish American war
1439,factoid,How deep is Crater Lake?,"1\s?,\s?932 feet|1,?949\s*f(ee|oo)?t|594\s*m|593 m|593\.0|594\.0552",594 m,Crater Lake is  594 m deep
1663,factoid,What are the people who make fireworks called?,Pyrotechnists,Pyrotechnists,Pyrotechnists  make fireworks called
1535,factoid,"Who painted ""Sunflowers""?",van Gogh,van Gogh,van Gogh  painted `` Sunflowers ''
10048,factoid,Who played Frodo in Lord of The Rings?,Wood,Wood,Wood  played Frodo in Lord of The Rings
10017,factoid,What is the capital of Laos?,Vientiane,Vientiane,Vientiane is the capital of Laos
2364,factoid,How hot does it get in Death Valley?,\b134\b|56\.7|\b116\b|\b47\b|56\.6\°C,56.6°C,it get in Death Valley does  56.6°C hot
1550,factoid,What is the southwestern-most tip of England?,Cornwall,Cornwall,Cornwall is the southwestern-most tip of England
1873,factoid,What is the motto for California?,.*Eureka.*,  Eureka  ,  Eureka   is the motto for California
2067,factoid,How many Great Lakes are there?,five,five,Great Lakes are there   five many
10028,factoid,What is the name of the second Beatles album?,Second Album|Introducing\.\.\. The Beatles,Second Album,Second Album is the name of the second Beatles album
10002,factoid,How many bombs were detonated in 2005 in London?,four|\b4\b,four,bombs were detonated in 2005 in London   four many
2248,factoid,How many planets are in our solar system?,nine|\b9\b|eight|\b8\b,nine,planets are in our solar system   nine many
2275,factoid,How big is the planet Venus?,"3,?7[5-7][0-9]\s*miles|6,?05[0-9]\s*(km|kilometers)",3761 miles,the planet Venus is  3761 miles big
1617,factoid,When did the Klondike gold rush occur?,189[6789],1898,the Klondike gold rush occur  in 1898 
2094,factoid,When was JFK born?,1917,1917,JFK born  in 1917 
2344,factoid,What city hosted the 1936 Summer Olympics?,Berlin,Berlin,Berlin  city hosted the 1936 Summer Olympics
1850,factoid,What is Marilyn Monroe's real name?,Norma Jeane? (Baker|Mortenson)|Norma Jean,Norma Jean,Norma Jean is Marilyn Monroe 's real name
2149,factoid,How many Olympic gold medals did Carl Lewis win?,ten|\b10\b|nine,10,Olympic gold medals did Carl Lewis win   10 many
1402,factoid,What year did Wilt Chamberlain score 100 points?,1962,1962,1962  year did Wilt Chamberlain score 100 points
1897,factoid,What is the name of the airport in Dallas Ft. Worth?,Dallas(\s\/\s|\-)Fort Worth International Airport|Dallas\/Fort Worth International Airport,Dallas-Fort Worth International Airport,Dallas-Fort Worth International Airport is the name of the airport in Dallas Ft. Worth
1822,factoid,Who was the captain of the Titanic?,Smith,Smith,Smith  was the captain of the Titanic
