id,type,question,answer,answer_value,statements,coefs,coef_2
1756,factoid,When is Fashion week in NYC?,Sept?(ember)?|Feb(ruary)?,February,Fashion week in NYC is in February ,0,2
1992,factoid,How hot is the sun?,"(5,?778|6,?[05]00)\s*K|(5,?505|6,?[50]00).*C|(9,?941|10,?000).*F|5778\.0",5778.0,the sun is  5778.0 hot,0,0
1663,factoid,What are the people who make fireworks called?,Pyrotechnists,Pyrotechnists,Pyrotechnists  make fireworks called,0,0
2364,factoid,How hot does it get in Death Valley?,\b134\b|56\.7|\b116\b|\b47\b|56\.6\°C,56.6°C,it get in Death Valley does  56.6°C hot,0,0
2094,factoid,When was JFK born?,1917,1917,JFK born  in 1917 ,0,2
2186,factoid,What are the measurements for a king-size bed?,"76\s*(inch|"").*80\s*(inch|"")",76 s  inch     80 s  inch   ,76 s  inch     80 s  inch     are the measurements for a king-size bed,0,0
1582,factoid,How high is a hand?,4\s*in(ches)?,4 in,a hand is  4 in high,0,0
1667,factoid,What is the abbreviation for the London stock exchange?,L.?S.?E.?,"LuSBE,","LuSBE, is the abbreviation for the London stock exchange",0,0
1549,factoid,What year was the IBM PC invented?,1981,1981,1981  year was the IBM PC invented,0,0
2333,factoid,How old do you have to be to join the U.S. Navy?,\b17\b,17,do you have to be to join the U.S. Navy   17 old,0,0
10064,factoid,how much is 1+1?,\b2\b|two,2,1+1 is  2 much,0,0
2360,factoid,What is the gift for the 20th anniversary?,china|platinum,platinum,platinum is the gift for the 20th anniversary,0,0
1720,factoid,"When a game of baseball is forfeited, what is the score?",9\s*[:-]\s*0,9 : 0,the score  in 9 : 0 ,0,0
1726,factoid,What is the name of the canopy at a Jewish wedding?,c?hup?pah?|chipe|chuppot,chuppot,chuppot is the name of the canopy at a Jewish wedding,0,0
1943,factoid,What is the name of Ling Ling's mate?,Ahua|Hsing-Hsing|Tong Tong,Tong Tong,Tong Tong is the name of Ling Ling 's mate,0,2
2073,factoid,How fast does light travel through space?,"186,?(282|000) miles per second|(299,?792|300,?000) kilometers per second|299,?792,?458 met(re|er)s per second|671 million miles per hour",671 million miles per hour,light travel through space does  671 million miles per hour fast,0,0
10074,factoid,what is the critical angle of rainbow?,\b48\b,48,48 is the critical angle of rainbow,0,0
1654,factoid,Where is Prairie View A&M University?,Texas|United States,Texas,Prairie View A & M University is in Texas ,0,21
2003,factoid,How far is the distance for a free throw?,(15|19)\s*f(oo|ee)?t|(4.6|5.8)\s*m,4W6 m,far is the distance for a free throw   4W6 m ,0,0
10005,factoid,How many pieces are there in a dozen?,\b12\b|twelve,12,pieces are there in a dozen   12 many,0,0
1592,factoid,When was the Reichstag burned down?,1933,1933,the Reichstag burned down  in 1933 ,0,0
2290,factoid,When was the piano made?,1700|1698|1[78].*century|1993,1700 1698 1 78   century 1993,the piano made  in 1700 1698 1 78   century 1993 ,0,0
10066,factoid,in which country was google founded?,\bU(nited|\.)?\s*S(tates|\.)?\b,U S.,U S.  country was google founded,0,0
2387,factoid,What country celebrates Guy Fawkes Day?,England|\bGB\b|Great Britain|\bUK\b|United Kingdom,United Kingdom,United Kingdom  country celebrates Guy Fawkes Day,0,3
1708,factoid,When was the Exxon Valdez Oil spill?,1989,1989,the Exxon Valdez Oil spill  in 1989 ,0,6
1837,factoid,"What year was Ebbets Field, home of Brooklyn Dodgers, built?",191[23],1913,1913  built,0,0
2330,factoid,What river is under New York's George Washington bridge?,Hudson,Hudson,Hudson  river is under New York 's George Washington bridge,0,0
10093,factoid,where is kiev ?,Ukraine|\bUA\b,UA,kiev is in UA ,0,1
10097,factoid,which natural number immediately follows 41 and precedes 43?,\b42\b|fourty.?two,42,42  natural number immediately follows 41 and precedes 43,0,34
1650,factoid,"What county is Elmira, NY in?",Chemung,Chemung,Chemung  NY in,0,0
2176,factoid,"when was Dante's ""Inferno"" written?",1300s|1308|1321|14th century,1321,Dante 's `` Inferno '' written  in 1321 ,0,0
2334,factoid,What did Peter Minuit buy for the equivalent of $24.00?,Manhattan,Manhattan,Manhattan  24.00,0,0
1759,factoid,"Who wrote ""Fiddler on the Roof?""",Sheldon Harnick,Sheldon Harnick,Sheldon Harnick  '',0,0
2191,factoid,What city is the gateway arch located in?,St.*?Louis,St   Louis,St   Louis  city is the gateway arch located in,0,0
1626,factoid,What is Buzz Aldrin's real first name?,Edwin,Edwin,Edwin is Buzz Aldrin 's real first name,0,7
1861,factoid,Where was Bill Gates born?,Seattle|Washington|United States of America,United States of America,Bill Gates born  in United States of America ,0,0
1539,factoid,What is Ronald Reagan's favorite candy?,Jelly Belly|jelly\s?beans?,jelly bean,jelly bean is Ronald Reagan 's favorite candy,0,2
2120,factoid,"What does ""CBS"" (television network) stand for?",Columbia Broadcasting System,Columbia Broadcasting System,Columbia Broadcasting System does stand for,0,0
1890,factoid,"Who is the author of the poem ""The Midnight Ride of Paul Revere?""",Longfellow,Longfellow,Longfellow is '',0,0
10065,factoid,how much is 41+1?,\b42\b|fourty-two,42,41+1 is  42 much,0,0
10003,factoid,How many children did Maria Theresa have?,sixteen|\b16\b,16,children did Maria Theresa have   16 many,0,0
1998,factoid,How old was Babe Ruth when he died?,53,53,Babe Ruth when he died   53 old,0,0
1833,factoid,How tall is Mike Tyson?,"5\s*(f(ee|oo)?t|')\s*10\s*(in(ch.*)?|"")|1\.78|178 cm tall",1.78,Mike Tyson is  1.78 tall,0,0
1482,factoid,"What county is Wilmington, Delaware in?",New Castle,New Castle,New Castle  Delaware in,0,0
10059,factoid,how long is the day?,"24\s*h|86,?400\s*s",24 h,the day is  24 h long,0,0
1556,factoid,What cemetery is Thurgood Marshall buried in?,Arlington,Arlington,Arlington  cemetery is Thurgood Marshall buried in,0,1
1565,factoid,What is Karl Malone's nickname?,The Mailman,The Mailman,The Mailman is Karl Malone 's nickname,0,0
1688,factoid,What year was the gateway arch built?,1965|1963,1965,1965  year was the gateway arch built,0,0
2261,factoid,What college did Magic Johnson go to?,Michigan State,Michigan State,Michigan State  college did Magic Johnson go to,0,0
1645,factoid,How much is the international space stations expected to cost?,\$ 95 billion|\$60 billion|about \$ 50 billion|more than 100 billion dollar|150\s*(billion|bn)|\$100,$ 95 billion,the international space stations expected to cost is  $ 95 billion much,0,2
