,sent,title,year,author
306,He wrote many political pamphlets for the organization.,,,Mark Twain
596,"In 1953, he lived mostly in New York City, having a brief but passionate affair with an African-American woman.",,,Jack Kerouac
118,Following the Equator.,,,Mark Twain
148,"He had unsuccessfully attempted to secure the rights for The Prince and the Pauper in 1881, in conjunction with his Montreal trip.",,,Mark Twain
876,"After working as a researcher and bilingual secretary in London for Amnesty International, Rowling moved with her then boyfriend to Manchester, where she worked at the Chamber of Commerce.",,,J.K. Rowling
547,"According to Carr, Kammerer's homosexual obsession turned aggressive, finally provoking Carr to stab him to death in self-defense.",,,Jack Kerouac
1186,"(1 March 2001)
",,,J.K. Rowling
1175,"Pepper's Lonely Hearts Club Band album cover – to celebrate the British cultural figures of his life.
",,,J.K. Rowling
1187,"The Tales of Beedle the Bard (supplement to the Harry Potter series) (4 December 2008)
",,,J.K. Rowling
569,"The book was largely autobiographical and describes Kerouac's road-trip adventures across the United States and Mexico with Neal Cassady in the late 40s and early 50s, as well as his relationships with other Beat writers and friends.",,,Jack Kerouac
764,"==


",,,Jack Kerouac
357,"As an adult, he engaged in religious discussions and attended services, his theology developing as he wrestled with the deaths of loved ones and with his own mortality.
",,,Mark Twain
812,"The books have won multiple awards, and sold more than 400 million copies.",,,J.K. Rowling
1050,"The fund also gives to organisations that aid children, one parent families, and multiple sclerosis research.


",,,J.K. Rowling
483,"Thematically, his work covers topics such as Catholic spirituality, jazz, promiscuity, Buddhism, drugs, poverty, and travel.",,,Jack Kerouac
845,=,,,J.K. Rowling
320,"Because he had an exclusive contract with Harper & Brothers, Twain could not publish The War Prayer elsewhere; it remained unpublished until 1923.",,,Mark Twain
641,Kerouac also wrote and narrated a beat movie titled Pull,,,Jack Kerouac
81,"All of the Clemens family are buried in Elmira's Woodlawn Cemetery.


",,,Mark Twain
907,"The decision to publish Rowling's book owes much to Alice Newton, the eight-year-old daughter of Bloomsbury's chairman, who was given the first chapter to review by her father and immediately demanded the next.",,,J.K. Rowling
1222,Gordon Brown –,,,J.K. Rowling
343,"His ""Votes for Women"" speech, in which he pressed for the granting of voting rights to women, is considered one of the most famous in history.
",,,Mark Twain
1151,"In September 2011, Rowling was named a ""core participant"" in the Leveson Inquiry into the culture, practices and ethics of the British press, as one of dozens of celebrities who may have been the victim of phone hacking.",,,J.K. Rowling
174,"Twain's funeral was at the ""Old Brick"" Presbyterian Church in New York.",,,Mark Twain
817,"Since then, Rowling has written four books for adult readers: The Casual Vacancy (2012) and—under the pseudonym Robert Galbraith—the crime fiction novels The Cuckoo's Calling (2013), The Silkworm (2014) and Career of Evil (2015).
",,,J.K. Rowling
839,They married on 14 March 1965.,,,J.K. Rowling
434,"I made a brave experiment, the other night, to see how it would feel to shock a crowd with these unseasonable clothes, and also to see how long it might take the crowd to reconcile itself to them and stop looking astonished and outraged.",,,Mark Twain
1049,"In 2000, Rowling established the Volant Charitable Trust, which uses its annual budget of £5.1 million to combat poverty and social inequality.",,,J.K. Rowling
486,"Since his death, Kerouac's literary prestige has grown, and several previously unseen works have been published.",,,Jack Kerouac
1191,Hogwarts:,,,J.K. Rowling
536,"Kerouac joined the United States Merchant Marine in 1942 and in 1943 joined the United States Navy, but served only eight days of active duty before arriving on the sick list.",,,Jack Kerouac
1234,"The Guardian.
",,,J.K. Rowling
47,"==

Orion became secretary to Nevada Territory governor James W. Nye in 1861, and Twain joined him when he moved west.",,,Mark Twain
762,=,,,Jack Kerouac
892,"Her marriage had failed, and she was jobless with a dependent child, but she described her failure as liberating and allowing her to focus on writing.",,,J.K. Rowling
539,"Two days later he was honorably discharged on psychiatric grounds (he was of ""indifferent character"" with a diagnosis of ""schizoid personality"").
",,,Jack Kerouac
1143,"The photo, taken by a photographer using a long-range lens, was subsequently published in a Sunday Express article featuring Rowling's family life and motherhood.",,,J.K. Rowling
1111,"On 22 October 2015 a letter was published in The Guardian signed by Rowling (along with over 150 other figures from arts and politics) opposing the cultural boycott of Israel, and announcing the creation of a network for dialogue, called Culture for Coexistence.",,,J.K. Rowling
627,His celebrity status brought publishers desiring unwanted manuscripts that were previously rejected before its publication.,,,Jack Kerouac
77,"Also, he smoked cigars constantly, and Susan did not want him to do so in her house.
",,,Mark Twain
213,Old Times on the Mississippi was a series of sketches published in the Atlantic Monthly in 1875 featuring his disillusionment with Romanticism.,,,Mark Twain
110,"Finally, Rogers took absolute charge of Twain's money until all his creditors were paid.
",,,Mark Twain
742,"This group provides opportunities for aspiring writers to live in the same house in which Kerouac was inspired, with room and board covered for three months.",,,Jack Kerouac
607,"In Desolation Angels he wrote, ""when I went to Columbia all they tried to teach us was Marx, as if I cared"" (considering Marxism, like Freudianism, to be an illusory tangent).
",,,Jack Kerouac
205,"All the while, he was writing letters to the newspaper that were meant for publishing, chronicling his experiences with humor.",,,Mark Twain
7,The short story brought international attention and was even translated into French.,,,Mark Twain
1208,"""",,,J.K. Rowling
929,"Rowling later said that writing the book was a chore, that it could have been shorter, and that she ran out of time and energy as she tried to finish it.
",,,J.K. Rowling
593,"For the next several years Kerouac continued writing and traveling, taking long trips through the U.S. and Mexico.",,,Jack Kerouac
381,He belonged to Polar Star Lodge No.,,,Mark Twain
56,"His first success as a writer came when his humorous tall tale ""The Celebrated Jumping Frog of Calaveras County"" was published on November 18, 1865, in the New York weekly The Saturday Press, bringing him national attention.",The Celebrated Jumping Frog of Calaveras County,1865.0,Mark Twain
269,"His manuscripts included three versions, written between 1897 and 1905: the so-called Hannibal, Eseldorf, and Print Shop versions.",,,Mark Twain
952,"Yates directed both films.
",,,J.K. Rowling
819,"However, she lost her billionaire status from giving away much of her earnings to charity.",,,J.K. Rowling
87,Most commercially successful was a self-pasting scrapbook; a dried adhesive on the pages needed only to be moistened before use.,,,Mark Twain
364,"In 1901, Twain criticized the actions of the missionary Dr. William Scott Ament (1851–1909) because Ament and other missionaries had collected indemnities from Chinese subjects in the aftermath of the Boxer Uprising of 1900.",,,Mark Twain
307,"The Incident in the Philippines, posthumously published in 1924, was in response to the Moro Crater Massacre, in which six hundred Moros were killed.",The Incident in the Philippines,1924.0,Mark Twain
30,Pilot was the grandest position of all.,,,Mark Twain
134,"In the late 1890s, he spoke to the Savage Club in London and was elected an honorary member.",,,Mark Twain
921,"In January 2000, Prisoner of Azkaban won the inaugural Whitbread Children's Book of the Year award, though it lost the Book of the Year prize to Seamus Heaney's translation of Beowulf.
",,,J.K. Rowling
1214,"Rowling, J. K. (5 June 2008).",,,J.K. Rowling
266,"After some time had passed he published some works that his wife, his de facto editor and censor throughout her married life, had looked down upon.",,,Mark Twain
850,"As a child, Rowling often wrote fantasy stories which she frequently read to her sister.",,,J.K. Rowling
575,"Though ""spontaneous,"" Kerouac had prepared long in advance before beginning to write.",,,Jack Kerouac
910,"In June 1997, Bloomsbury published Philosopher's Stone with an initial print run of 1,000 copies, 500 of which were distributed to libraries.",Philosopher's Stone,1997.0,J.K. Rowling
1093,"Rowling has described Jane Austen as her favourite author, calling Emma her favourite book in O, The Oprah Magazine.",,,J.K. Rowling
1104,"When your flat has been broken into, and you cannot afford a locksmith, it is the money.",,,J.K. Rowling
1002,"=== Cormoran Strike ===

",,,J.K. Rowling
872,"Again? or Greek and Roman Studies Recalled""; it was published by the University of Exeter's journal Pegasus.


",,,J.K. Rowling
280,== Views,,,Mark Twain
866,"Rowling took A-levels in English, French and German, achieving two As and a B and was Head Girl.
",,,J.K. Rowling
441,"==


=",,,Mark Twain
881,"Her mother's death heavily affected Rowling's writing, and she channelled her own feelings of loss by writing about Harry's own feelings of loss in greater detail in the first book.


",,,J.K. Rowling
991,"==
",,,J.K. Rowling
85,"He developed a close and lasting friendship with Nikola Tesla, and the two spent much time together in Tesla's laboratory.
",,,Mark Twain
152,"== Later life and death ===
Twain lived in his later years at 14 West 10th Street in Manhattan.
",,,Mark Twain
729,My Fire:,,,Jack Kerouac
151,=,,,Mark Twain
874,== Inspiration and mother's death,,,J.K. Rowling
712,=,,,Jack Kerouac
971,"The 2016 Sunday Times Rich List estimated Rowling's fortune at £600 million, ranking her as the joint 197th richest person in the UK.",,,J.K. Rowling
94,"=== Financial troubles ===
Twain made a substantial amount of money through his writing, but he lost a great deal through investments.",,,Mark Twain
510,"He was a serious child who was devoted to his mother, who played an important role in his life.",,,Jack Kerouac
472,"Home to the largest archive of Mark Twain's papers and the editors of a critical edition of all of his writings.
",,,Mark Twain
95,"He invested mostly in new inventions and technology, particularly in the Paige typesetting machine.",,,Mark Twain
180,== Writing =,,,Mark Twain
419,"He had never been held up to ridicule before; he was sensitive, and he never got over the hurt which I had wantonly and stupidly inflicted upon his dignity.",,,Mark Twain
1245,"Literature
""The first It Girl"", Rowling's article on Jessica Mitford for The Telegraph
Video, audio and transcript of Rowling's speech at Harvard University's 2008 commencement
J. K. Rowling at the Internet Speculative Fiction Database
J. K. Rowling on IMDb
Works by J. K. Rowling at Open Library 
Works by or about J. K. Rowling in libraries (WorldCat catalog)
J.K. Rowling at the Internet Book List
The Blair Partnership",,,J.K. Rowling
342,Twain was also a staunch supporter of women's rights and an active campaigner for women's suffrage.,,,Mark Twain
127,"Twain wrote that he had ""never seen any place that was so satisfactorily situated, with its noble trees and stretch of country, and everything that went to make life delightful, and all within a biscuit's throw of the metropolis of the world.""",,,Mark Twain
961,"Rowling's first choice for the director had been Monty Python member Terry Gilliam, but Warner Bros. wanted a family-friendly film and chose Columbus.
",,,J.K. Rowling
403,"Captain Isaiah Sellers was not of literary turn or capacity, but he used to jot down brief paragraphs of plain practical information about the river, and sign them ""MARK TWAIN"", and give them to the New Orleans Picayune.",,,Mark Twain
1165,"National Book Awards Children's Book of the Year, winner Harry Potter and the Chamber of Secrets
1999:",,,J.K. Rowling
1003,"In 2007, during the Edinburgh Book Festival, author Ian Rankin claimed that his wife spotted Rowling ""scribbling away"" at a detective novel in a café.",,,J.K. Rowling
917,"Rowling moved from her flat with the money from the Scholastic sale, into 19 Hazelbank Terrace in Edinburgh.
",,,J.K. Rowling
972,"In 2012, Forbes removed Rowling from their rich list, claiming that her US$160 million in charitable donations and the high tax rate in the UK meant she was no longer a billionaire.",,,J.K. Rowling
956,"The first four, sixth, seventh, and eighth films were scripted by Steve Kloves; Rowling assisted him in the writing process, ensuring that his scripts did not contradict future books in the series.",,,J.K. Rowling
117,His three months in India became the centerpiece of his 712-page book,,,Mark Twain
1235,"Rowling, J. K. (guest editor)",,,J.K. Rowling
189,"Additionally, a large portion of his speeches and lectures have been lost or were not recorded; thus, the compilation of Twain's works is an ongoing process.",,,Mark Twain
801,JackKerouac.com –,,,Jack Kerouac
967,=== Financial success =,,,J.K. Rowling
209,The book lampoons American and Western society in the same way that Innocents critiqued the various countries of Europe and the Middle East.,,,Mark Twain
262,"He outlines what he considers to be ""quality writing"" in several letters and essays, in addition to providing a source for the ""tooth and claw"" style of literary criticism.",,,Mark Twain
1021,Russells made a donation to the Soldiers' Charity on Rowling's behalf and reimbursed her for her legal fees.,,,J.K. Rowling
794,"= See also ==


== References",,,Jack Kerouac
626,On the Road brought Kerouac instant fame.,,,Jack Kerouac
1146,"As one journalist noted, ""Harry's Uncle Vernon is a grotesque philistine of violent tendencies and remarkably little brain.",,,J.K. Rowling
405,"I was a fresh new journalist, and needed a nom de guerre; so I confiscated the ancient mariner's discarded one, and have done my best to make it remain what it was in his hands – a sign and symbol and warrant that whatever is found in its company may be gambled on as being the petrified truth; how I have succeeded, it would not be modest in me to say.

",,,Mark Twain
61,(1869).,,,Mark Twain
751,"An album released to accompany the movie, ""One Fast Move or I'm Gone"", features Benjamin Gibbard (Death Cab for Cutie) and Jay Farrar (Son Volt) performing songs based on Kerouac's Big Sur.
",,,Jack Kerouac
1131,"She has said that she has struggled with doubt, that she believes in an afterlife, and that her faith plays a part in her books.",,,J.K. Rowling
123,"The family moved to London in spring 1899, following a lead by Poultney Bigelow who had a good experience being treated by Dr. Jonas Henrik Kellgren, a Swedish osteopathic practitioner in Belgravia.",,,Mark Twain
124,They were persuaded to spend the summer at Kellgren's sanatorium by the lake in the Swedish village of Sanna.,,,Mark Twain
706,"Set in 1935, mostly on the East Coast, it explores some of the recurring themes of Kerouac's literature by way of a spoken word narrative.",,,Jack Kerouac
216,=,,,Mark Twain
175,"He is buried in his wife's family plot at Woodlawn Cemetery in Elmira, New York.",,,Mark Twain
171,"Upon hearing of Twain's death, President William Howard Taft said:

Mark Twain gave pleasure – real intellectual enjoyment – to millions, and his works will continue to give such pleasure to millions yet to come …",,,Mark Twain
595,"During this period, he finished drafts of what would become ten more novels, including The Subterraneans, Doctor Sax, Tristessa, and Desolation Angels, which chronicle many of the events of these years.
",,,Jack Kerouac
1184,"===
Fantastic Beasts and Where to Find Them (supplement to the Harry Potter series) (1 March 2001)
",,,J.K. Rowling
1106,"When you find yourself contemplating shoplifting to get nappies, it is the money.""
",,,J.K. Rowling
555,(Their marriage was annulled in 1948.),,,Jack Kerouac
640,""" Many consider that this clearly indicated Kerouac's journey on an emotional roller coaster of unprecedented adulation and spiritual demoralization.
",,,Jack Kerouac
313,"Reports of outrageous exploitation and grotesque abuses led to widespread international protest in the early 1900s, arguably the first large-scale human rights movement.",,,Mark Twain
99,"Twain also lost money through his publishing house of Charles L. Webster and Company, which enjoyed initial success selling the memoirs of Ulysses S. Grant but failed soon afterward, losing money on a biography of Pope Leo XIII.",,,Mark Twain
78,Twain wrote many of his classic novels during his 17 years in Hartford (1874–1891) and over 20 summers at Quarry Farm.,,,Mark Twain
733,"In 1974, the Jack Kerouac School of Disembodied Poetics was opened in his honor by Allen Ginsberg and Anne Waldman at Naropa University, a private Buddhist university in Boulder, Colorado.",,,Jack Kerouac
12,"Twain was born shortly after an appearance of Halley's Comet, and he predicted that he would ""go out with it"" as well; he died the day after the comet returned.",,,Mark Twain
326,"=== Civil rights ===
Twain was an adamant supporter of the abolition of slavery and the emancipation of slaves, even going so far as to say, ""Lincoln's Proclamation ... not only set the black slaves free, but set the white man free also"".",,,Mark Twain
1168,"Officer of the Order of the British Empire, for services to Children's Literature
2000:",,,J.K. Rowling
903,"==

In 1995, Rowling finished her manuscript for Harry Potter and the Philosopher's Stone on an old manual typewriter.",Harry Potter and the Philosopher's Stone,1995.0,J.K. Rowling
737,"A Franco-American Odyssey, directed by Acadian poet Herménégilde Chiasson.
",,,Jack Kerouac
331,"Of them, Twain wrote in 1870:

His heart is a cesspool of falsehood, of treachery, and of low and devilish instincts.",,,Mark Twain
349,"The few: the King, the capitalist, and a handful of other overseers and superintendents.",,,Mark Twain
1110,"Rowling compared some Scottish Nationalists with the Death Eaters, characters from Harry Potter who are scornful of those without pure blood.
",,,J.K. Rowling
650,"""",,,Jack Kerouac
646,"Even the leads, Buz and Todd, bore a resemblance to the dark, athletic Kerouac and the blonde Cassady/Moriarty, respectively.",,,Jack Kerouac
