,y,x
2413,ham,Lol please do. Actually send a pic of yourself right now. I wanna see. Pose with a comb and hair dryer or something.
2770,ham,No problem. Talk to you later
4578,ham,No plans yet. What are you doing ?
4775,ham,Quite lor. But dun tell him wait he get complacent...
4968,ham,I will cme i want to go to hos 2morow. After that i wil cme. This what i got from her dear what to do. She didnt say any time
409,ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com
4920,ham,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng."
2742,ham,No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u
2712,ham,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath
1179,ham,To day class is there are no class.
5398,ham,Hi. Hope you had a good day. Have a better night.
3453,ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
2016,ham,"Princess, is your kitty shaved or natural?"
3189,ham,Hi neva worry bout da truth coz the truth will lead me 2 ur heart. ItåÕs the least a unique person like u deserve. Sleep tight or morning
3149,ham,Yo! Howz u? girls never rang after india. L
1749,ham,DO NOT B LATE LOVE MUM
3634,ham,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life."
134,spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
4651,ham,Where r e meeting tmr?
945,ham,I cant wait to see you! How were the photos were useful? :)
4139,ham,Leave it wif me lar... ÌÏ wan to carry meh so heavy... Is da num 98321561 familiar to Ì_?
2774,ham,"Dude u knw also telugu..thts gud..k, gud nyt.."
25,ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
225,ham,Would really appreciate if you call me. Just need someone to talk to.
3613,ham,Ok c Ì_ then.
1079,ham,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
765,spam,UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 å£1.50perWKsub
2572,ham,"The house is on the water with a dock, a boat rolled up with a newscaster who dabbles in jazz flute behind the wheel"
3441,spam,Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend
5508,ham,"Machan you go to gym tomorrow,  i wil come late goodnight."
616,ham,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.
4556,ham,I am in hospital da. . I will return home in evening
1171,spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
1177,ham,Just nw i came to hme da..
4288,ham,"Okay, good, no problem, and thanx!"
5423,ham,"Sorry, I'll call later"
619,ham,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.
4157,ham,It certainly puts things into perspective when something like this happens
2591,ham,Still work going on:)it is very small house.
1971,ham,Enjoy ur life. . Good night
1006,spam,Panasonic & BluetoothHdset FREE. Nokia FREE. Motorola FREE & DoubleMins & DoubleTxt on Orange contract. Call MobileUpd8 on 08000839402 or call 2optout
398,ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India."
3306,ham,"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!"
3572,spam,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt
2205,ham,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
3771,ham,Does uncle timi help in clearing cars
3204,ham,"Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home"
1712,ham,o turns out i had stereo love on mi phone under the unknown album.
