,id,phrase
0,e82bae79-8891-4244-9745-bcb07935845c,wrote posts mentioning Stacy Vaughn
1,e82bae79-8891-4244-9745-bcb07935845c,liked any post 9 times
2,e82bae79-8891-4244-9745-bcb07935845c,clicked on ad with 'blackout' in it
3,e82bae79-8891-4244-9745-bcb07935845c,wrote at least one post with mention of Stacy Vaughn
4,e82bae79-8891-4244-9745-bcb07935845c,liked any post 9 or more times
5,e82bae79-8891-4244-9745-bcb07935845c,clickd on ad with text 'blackout' in it
6,e82bae79-8891-4244-9745-bcb07935845c,wrote a post about Stacy Vaughn
7,e82bae79-8891-4244-9745-bcb07935845c,at least nine likes
8,e82bae79-8891-4244-9745-bcb07935845c,clickd on add that contained 'blackout'
9,e82bae79-8891-4244-9745-bcb07935845c,clicked on ad about blackout
10,e82bae79-8891-4244-9745-bcb07935845c,also liked post 9 times
11,e82bae79-8891-4244-9745-bcb07935845c,wrote post with Stacy Vaughn's mention
12,e82bae79-8891-4244-9745-bcb07935845c,wrote Stacy Vaughn's post
13,e82bae79-8891-4244-9745-bcb07935845c,liked it 9 times
14,e82bae79-8891-4244-9745-bcb07935845c,clicked on ad that contains 'blackout'
15,e82bae79-8891-4244-9745-bcb07935845c,rated page at least 4 times
16,e82bae79-8891-4244-9745-bcb07935845c,answered 'Yes' in a poll
17,e82bae79-8891-4244-9745-bcb07935845c,downloaded 'exhibitor' type page file
18,e82bae79-8891-4244-9745-bcb07935845c,rated any page four times
19,e82bae79-8891-4244-9745-bcb07935845c,participated in poll and answered yes to any question
20,e82bae79-8891-4244-9745-bcb07935845c,downloaded a file from page with 'exhibitor' type
21,e82bae79-8891-4244-9745-bcb07935845c,rated page 4 time
22,e82bae79-8891-4244-9745-bcb07935845c,answered yes in poll
23,e82bae79-8891-4244-9745-bcb07935845c,downloaded a file from exhibitor page
24,e82bae79-8891-4244-9745-bcb07935845c,rated page 4 or more times
25,e82bae79-8891-4244-9745-bcb07935845c,in poll answered yes
26,e82bae79-8891-4244-9745-bcb07935845c,got file from 'exhibitor' type page
27,e82bae79-8891-4244-9745-bcb07935845c,rated page four times
28,e82bae79-8891-4244-9745-bcb07935845c,participated in poll and answered yes
29,e82bae79-8891-4244-9745-bcb07935845c,downloaded any file from exhibitor page
30,e82bae79-8891-4244-9745-bcb07935845c,'captive' in bio
31,e82bae79-8891-4244-9745-bcb07935845c,n't enjoy event
32,e82bae79-8891-4244-9745-bcb07935845c,downloaed a file from exhibitor page
33,e82bae79-8891-4244-9745-bcb07935845c,'captive' in bio
34,e82bae79-8891-4244-9745-bcb07935845c,n't enjoy the event
35,e82bae79-8891-4244-9745-bcb07935845c,downloaded a file from exhibitor page
36,e82bae79-8891-4244-9745-bcb07935845c,name Marjorie
37,e82bae79-8891-4244-9745-bcb07935845c,replied to negative post
38,e82bae79-8891-4244-9745-bcb07935845c,downloaded a file from page with 'exhibitor' type
