,id,phrase,replacements,label
0,e82bae79-8891-4244-9745-bcb07935845c,wrote posts mentioning <mention>,"{""mention"": ""Stacy Vaughn""}",post
1,e82bae79-8891-4244-9745-bcb07935845c,liked any post <number> times,"{""number"": ""9""}",like
2,e82bae79-8891-4244-9745-bcb07935845c,clicked on ad with <post-word> in it,"{""post-word"": ""'blackout'""}",ad
3,e82bae79-8891-4244-9745-bcb07935845c,wrote at least one post with mention of <mention>,"{""mention"": ""Stacy Vaughn""}",post
4,e82bae79-8891-4244-9745-bcb07935845c,liked any post <number> or more times,"{""number"": ""9""}",like
5,e82bae79-8891-4244-9745-bcb07935845c,clickd on ad with text <post-word> in it,"{""post-word"": ""'blackout'""}",ad
6,e82bae79-8891-4244-9745-bcb07935845c,wrote a post about <mention>,"{""mention"": ""Stacy Vaughn""}",post
7,e82bae79-8891-4244-9745-bcb07935845c,at least <number> likes,"{""number"": ""nine""}",like
8,e82bae79-8891-4244-9745-bcb07935845c,clickd on add that contained <post-word>,"{""post-word"": ""'blackout'""}",ad
9,e82bae79-8891-4244-9745-bcb07935845c,clicked on ad about <post-word>,"{""post-word"": ""blackout""}",ad
10,e82bae79-8891-4244-9745-bcb07935845c,also liked post <number> times,"{""number"": ""9""}",like
11,e82bae79-8891-4244-9745-bcb07935845c,wrote post with <mention>s mention,"{""mention"": ""Stacy Vaughn'""}",post
12,e82bae79-8891-4244-9745-bcb07935845c,wrote <mention>s post,"{""mention"": ""Stacy Vaughn'""}",post
13,e82bae79-8891-4244-9745-bcb07935845c,liked it <number> times,"{""number"": ""9""}",like
14,e82bae79-8891-4244-9745-bcb07935845c,clicked on ad that contains <post-word>,"{""post-word"": ""'blackout'""}",ad
15,e82bae79-8891-4244-9745-bcb07935845c,rated page at least <number> times,"{""number"": ""4""}",rate
16,e82bae79-8891-4244-9745-bcb07935845c,answered <poll-answer> in a poll,"{""poll-answer"": ""'Yes'""}",poll
17,e82bae79-8891-4244-9745-bcb07935845c,downloaded <page-type> type page file,"{""page-type"": ""'exhibitor'""}",file
18,e82bae79-8891-4244-9745-bcb07935845c,rated any page <number> times,"{""number"": ""four""}",rate
19,e82bae79-8891-4244-9745-bcb07935845c,participated in poll answered <poll-answer> to any question,"{""poll-answer"": ""yes""}",poll
20,e82bae79-8891-4244-9745-bcb07935845c,downloaded a file from page with <page-type> type,"{""page-type"": ""'exhibitor'""}",file
21,e82bae79-8891-4244-9745-bcb07935845c,rated page <number> time,"{""number"": ""4""}",rate
22,e82bae79-8891-4244-9745-bcb07935845c,answered <poll-answered> in poll,"{""poll-answer"": ""yes""}",poll
23,e82bae79-8891-4244-9745-bcb07935845c,downloaded a file from <page-type> page,"{""page-type"": ""exhibitor""}",file
24,e82bae79-8891-4244-9745-bcb07935845c,rated page <number> or more times,"{""number"": ""4""}",rate
25,e82bae79-8891-4244-9745-bcb07935845c,in poll answered <poll-answered>,"{""poll-answer"": ""yes""}",poll
26,e82bae79-8891-4244-9745-bcb07935845c,got file from <page-type> type page,"{""page-type"": ""'exhibitor'""}",file
27,e82bae79-8891-4244-9745-bcb07935845c,rated page <number> times,"{""number"": ""4""}",rate
28,e82bae79-8891-4244-9745-bcb07935845c,participated in poll and answered yes,"{""poll-answer"": ""yes""}",poll
29,e82bae79-8891-4244-9745-bcb07935845c,downloaded any file from <page-type> page,"{""page-type"": ""exhibitor""}",file
30,e82bae79-8891-4244-9745-bcb07935845c,<post-word> in bio,"{""post-word"": ""'captive'""}",profile
