"Mermaid"	2007	"The Little Mermaid"
"Snow Queen"	2002	"The Snow Queen"
"The Snow Queen"	1957	"The Snow Queen"
"The Snow Queen"	1986	"The Snow Queen"
"The Snow Queen"	1995	"The Snow Queen"
"The Snow Queen"	2005	"The Snow Queen"
"The Snow Queen"	2012	"The Snow Queen"
"Once Upon a Time"	1973	"Grimms' Fairy Tales"
"Beastly"	0	"Beauty and the Beast"
"Charming"	0	"Cinderella"
"Charming"	0	"Sleeping Beauty"
"Ali Baba and the Forty Thieves"	1944	"One Thousand and One Nights"
"Seryi Volk & Krasnaya Shapochka"	0	"Little Red Riding Hood"
"The Princess and the Frog"	0	"Grimms' Fairy Tales"
"La Rosa di Bagdad"	0	"One Thousand and One Nights"
"Very Blue Beard"	0	"works by Charles Perrault"
"Mother Holly"	0	"Grimms' Fairy Tales"
"Sleeping Beauty"	1955	"Sleeping Beauty"
"The Donkey's Hide"	0	"works by Charles Perrault"
"The Goose Girl"	1957	"Grimms' Fairy Tales"
"The Wishing-Table"	0	"Grimms' Fairy Tales"
"Bugs Bunny's 3rd Movie: 1001 Rabbit Tales"	0	"One Thousand and One Nights"
"Santa and the Ice Cream Bunny"	0	"Thumbelina"
"Son of Ali Baba"	0	"One Thousand and One Nights"
"Tom Thumb and Little Red Riding Hood"	0	"Little Red Riding Hood"
"Tom Thumb and Little Red Riding Hood"	0	"Tom Thumb"
"The Magic Shoes"	0	"Cinderella"
"Allavuddin Adbhuta Deepam"	0	"One Thousand and One Nights"
"A Thousand and One Nights"	1945	"One Thousand and One Nights"
"A Thousand and One Nights"	1969	"One Thousand and One Nights"
"Bearskin"	0	"Grimms' Fairy Tales"
"Gigantic"	2018	"Jack and the Beanstalk"
"Into the Woods"	0	"Grimms' Fairy Tales"
"Into the Woods"	0	"Cinderella"
"Into the Woods"	0	"Jack and the Beanstalk"
"Into the Woods"	0	"Little Red Riding Hood"
"A Coach for Cinderella"	0	"Cinderella"
"A Ride for Cinderella"	0	"Cinderella"
"Ella Enchanted"	0	"Cinderella"
"Goldilocks"	0	"The Story of the Three Bears"
"The Wacky World of Mother Goose"	0	"works by Charles Perrault"
"Hans Christian Andersen's The Little Mermaid"	1975	"The Little Mermaid"
