score,positive,negative,text
5,"надійна, дешева",,"Гарний вибір для невибагливого рибалки. Навіть якщо зламається або хто вкраде, то можна завжди піти та купити нову, адже коштує небагато."
5,зручний в використанні,не знайшли,Намет дуже якісний. Брали на подарунок. Доставили вчасно. Дуже вдячні
5,быстро,-,я доволен
5,"Саме те, що треба.",На 5 см довші від моїх. Довелося вкоротити.,"Дякую, саме встиг до походу замінити."
4,довжина,поки не виявив,"Використав для ремонту дуги арки тамбуру намету ""Кемпінг Лайт 2"". ""Террівська"" не підходила за довжиною, була короткувата. Виручила ця. Виявилася навіть задовгою, проблему було вирішено за допомогою звичайного лобзика і плоского надфіля. Відремонтована дуга пройшла випробування Чорногірським хребтом, тиждень щодня намет ставився і складався. Сегмент не тріснув і не прогнувся. У мене все."
5,,,Нормальні дуги.
5,,,Нормальні дуги.
5,"За свої гроші - краща палатка. Легка, напрочуд тепла. Я задоволений покупкою.","Конденсат, навіть за одну ніч. Немає палиць в комплекті - але може це і плюс, бо так легша палатка.",В загальному задоволений.
5,"Ціна, вага, зручність",За таку ціну- жодних,"Палаткою задоволений. Іноді скаржаться на конденсат, але для одношарової палатки це нормально. 36 годин карпатської негоди(сильний вітер, злива) витримала без жодних проблем. Для однієї людини з рюкзаком в палатці дуже комфортно і залишається багато місця. Ставиться на трекінгові палиці без проблем."
4,,"Тримає невеликий дощ, при сильному без клейонки протікає за годину.Двом тіснувато +конденсат, якщо повністю закрити вхід (залишаю 30 см для кращої циркуляції)","Палатка найкраще підходить для соло, коли наплічник важить 6-7кг і рахуєш все: від кілокалорій до лишніх грам. Однозначно вартує своїх грошей."
5,,,ідеально підійшло
5,,Немає наконечників на тому місця де потрібно з'єднювати дугу з палаткою.,"Найоптимальніший варіант для ремонту старих дуг, чи їх заміни."
4,"Великий тамбур з прозорим вікном.Висока, неважко збирати. Не промокає, ""дихає"", антимоскітні сітки в ""дверях,вікнах"".","При послідній зборці розслоївся один сегмент фібергласового каркасу,замотав ізолентою. Виробники (продавці)? не можуть визначитись з місткістю 3 чи 4 людини. Якщо з надувним матрасом то двоє + дитина. Вхід у внутрішню палатку збоку від спальних місць, приходиться перелазити через сплячих! Це реально обмежує місткість навіть без матраса.","Моя перша сучасна палатка, порівнювати нема з чим-радянські ""рядом не стояли"".Купував не тут. Користуюсь 3 роки,1-2 раза на сезон. Коли перший раз склав, захвату не було меж! Вона здоровенна! Здоровенна- це висока, в середині не потрібно нагинатись. Конструктивно це тент на зовнішному каркасі, до якого з середини підвішена на швидкознімальних кліпсах внутрішня, (дихаюча) палатка. Збираю сам, неважко, не довго. В середині надуваю двохспальний матрас і комфорт забезпечено! В тамбурі на випадок дощу поміщається круглий пластиковий стіл, два пластикові крісла, дрова,рюкзаки... ВСЕ! І ще, ВЕЛИКЕ ПЛАСТИКОВЕ ВІКНО!"
5,Якість виробу,не виявив,"Намет купляв для сімї, і у виборі зовсім не помилився і не розчарований. Варіант для сімї просто іделальний, при необхідності в тамбурі ще трьох можна помістити..."
5,"надійна, дешева",,"Гарний вибір для невибагливого рибалки. Навіть якщо зламається або хто вкраде, то можна завжди піти та купити нову, адже коштує небагато."
5,зручний в використанні,не знайшли,Намет дуже якісний. Брали на подарунок. Доставили вчасно. Дуже вдячні
5,"Бред не бред, а палатка отличная в сухую погоду, в дощь ещё не пробовал будет повод попробую. Цена супер",Шла без колышек которые как бы преднозначены,"Скажу так, спало в такой палатке 2 взрослых человека комплекции 65 и 90 кг и ещё поместился б один комплекции в кило 50 спокойно, так что палатка на свою цену классная ещё возьму себе но позже.Советую как постоянно путешествующий кто б что не говорил."
5,"подходит для зимы и лета, цена, получил с колышками, внутри вполне могут поместиться 2 человека","маловатый вход, для летнего отдыха нормально, а зимой в одежде будет не совсем удобно, на моделях без москитки более походящиий для зимы вариант","Быстро раскладывается, есть москитная сетка для лета. Высоты палатки достаточно, чтобы во время рыбалки сидеть на рыбацком ящике (высота 40 см). Быстрая обработка заявки и доставка. Спасибо."
5,"палатку знаем и используем и летом и зимой, так что ввертыши - подарок по делу",,беру на подарок... а когда то меня убедил видеообзор от розетки https://www.youtube.com/watch?v=yBEIE4YjOyQ
5,несколько необычное применение,,"дело в том что муж использует такую только без сетки ужее несколько сезонов . Как рыбак он доволен и мы тоже. В этот раз брали на подарок другу , но оставим себе. Была вылазка в парк и вы не представляте как эту палатку окупировали дети . С горячим чаем посреди снега ... Думаю что она просто уникальна и для зимы и для лета и даже для игр посреди комнаты. Кстати настолько приятный оттенок и под солнцем внутри просто настроение повышается."
2,"Автоматическая, быстро раскладывается-складывается.",Качество пошива. Затруднен вход в палатку из-за малого разреза.,"Не рекомендую. Качество швов никакое, разлазятся на глазах. Вход в палатку затруднен из-за малого разреза, приходится извиваться как уж. Окошко для проветривания открывается только снаружи.Единственный плюс этой палатки это то что она быстро раскладывается и складывается."
2,размер,"узкий вход, отсутствие москитной сетки",Не рекомендую !!!
5,,,Когда появится в наличии???
3,Быстрая сборка,"Большие габариты в сложенном виде, в комплекте нет колышков","Из описания вовсе не очевидно, как палатка выглядит в сложенном и упакованном виде. А это здоровенная шайба диаметром 60 см и толщиной 5 см. Ни в один рюкзак такое не влезет. На шайбе есть две шлейки, чтобы ее можно было нести на спине как рюкзак, но это хорошо только если спина свободна или если возить в машине. В комплекте нет колышков, в подарок дают ввертыши, которые годятся только для льда.Нужно было смотреть видео-обзор перед покупкой."
5,"простота использования приятный цвет, всесезонность",,собственно говоря вот такой ненапрягающий обзор убедил и действительно палатка просто хороша. Спасибо за быструю доставку.
5,"цена , качество",,"поклонником бренда являюсь давно , палатку действительно ждали - был перерыв в поставке. Спасибо за расширенение линейки. Летом будем использовать однозначно."
1,,,"Очень обидно, но нам испортили праздник, мостим шатер им из подручных средств!!!! Даже не успели собрать верх, как треснула направляющая пластмасса!!!!!! Это же где нужно было хранить или сразу такое качество???? Как вернуть это недоразумение в обмен на мои деньги??"
5,"100% ""зачет""",нет,Чехла нет. Коробка. Ткань водоотталкивающая. Каркас хороший. Монтируется легко. Ничего докупать не надо.
5,нормальный тент,,"спасибо, тент стоит своих денег!"
5,"уже установили во дворе, будем везти с собой и на пляж",,"Удобная , проверенная временем модель"
3,,,"На свои деньги, в наше время нормальный тент"
5,хороший подарок,,Взяли на подарок по одной причине: муж использует ее и как летнюю так и для зимней рыбалки. очень быстро раскладывается и удобна для переноски.
5,,,"Как раз холодает. Надо успеть купить. Потому как непонятно, что с погодой. Может ещё и успею на зимнюю рыбалку сходить. Но от ветра точно спасёт"
5,понравилась,,"уж не знаю, что больше понравилось видеудочка Ranger или палатка но приятно когда от подарка в реальном восхищении. доставка своевременная - что было очень важно."
5,под погоду,,"мой друг детскую дороже брал а тут 3 в одном зима, лето и вигвам для малышни"
5,без нее теперь не обойдешься.,,"взял, как раз под погоду .. теперь при устоявшемся льде и периодических осадках без нее как без рук"
5,Хороший бюджетный вариант .,не найдено,Понравилось обслуживание . Палаткой ОЧЕНЬ доволен . Качество соответствует цене ...
5,"Палатка отпад, качество хорошее, не промокает, плотная и т.д.как в описании.",Не найдено.,"Брала дедушки, очень доволен. На зимней рыбалке, то что надо! Держится уже больше 1,5 года."
5,всесезонка,,и зимой и летом. суперэконом вариант
5,хорошая,логистика оставляет желать лучшего,"наконец то . Слава богу она всесезонная. т.е послужит и летом. А сейчас буду надеяться , что в этот раз хватит. Последний раз они были распроданы ажно в сентябре."
