"name2","relationship","name1"
"Sir Robert Munro, 5th Baronet","http://dbpedia.org/property/before","Sir Robert Munro, 6th Baronet"
"Sir Robert Munro, 5th Baronet","http://dbpedia.org/property/before","Sir Robert Munro, Bt"
"Alfred de Bathe Brandon","http://www.w3.org/2002/07/owl#differentFrom","Alfred Brandon"
"Alfred Brandon","http://www.w3.org/2002/07/owl#differentFrom","Alfred Brandon"
"Alexander Bradshaw Campbell","http://dbpedia.org/ontology/child","Thane Campbell"
"Alex Campbell","http://dbpedia.org/ontology/child","Thane Campbell"
"Jean-Marie Le Pen","http://dbpedia.org/ontology/predecessor","Marine Le Pen"
"Thomas Mackworth","http://dbpedia.org/property/after","Humphrey Mackworth"
"Saddam Hussein","http://dbpedia.org/ontology/president","Adnan Khairallah"
"Anderson Cooper","http://dbpedia.org/ontology/knownFor","Gloria Morgan Vanderbilt"
"Jesus Crispin Remulla","http://dbpedia.org/ontology/successor","Juanito Victor C. Remulla"
"Jesus Crispin Remulla","http://dbpedia.org/ontology/successor","Juanito Victor C. Remulla, Jr."
"Pablo John Garcia","http://dbpedia.org/property/predecessor","Gwendolyn Garcia"
"Richard Foster","http://dbpedia.org/ontology/predecessor","Neal Foster"
"Louis Philippe Demers","http://dbpedia.org/ontology/predecessor","Marie Joseph Demers"
"Ron Paul","http://www.w3.org/2002/07/owl#differentFrom","Rand Paul"
"John W. Kendall","http://dbpedia.org/ontology/predecessor","Joseph M. Kendall"
"Kim Hendren","http://dbpedia.org/property/succeeded","Jim Hendren"
"Kim Dexter Hendren","http://dbpedia.org/property/succeeded","Jim Hendren"
"Kim Hendren","http://dbpedia.org/property/succeeded","James Paul ""Jim"" Hendren"
"Kim Dexter Hendren","http://dbpedia.org/property/succeeded","James Paul ""Jim"" Hendren"
"Kim Hendren","http://dbpedia.org/property/after","James Paul ""Jim"" Hendren"
"Kim Dexter Hendren","http://dbpedia.org/property/after","James Paul ""Jim"" Hendren"
"Kim Hendren","http://dbpedia.org/property/after","Jim Hendren"
"Kim Dexter Hendren","http://dbpedia.org/property/after","Jim Hendren"
"Charles John Monro","http://dbpedia.org/ontology/child","James Hector"
"Charles John Monro","http://dbpedia.org/ontology/child","Sir James Hector"
"Hugo Chávez","http://dbpedia.org/ontology/predecessor","Adán Chávez Frías"
"Hugo Chávez","http://dbpedia.org/ontology/predecessor","Adán Chávez"
"Tokugawa Ieyasu","http://dbpedia.org/property/before","Tokugawa Hidetada"
"Tokugawa Ieyasu","http://dbpedia.org/ontology/predecessor","Tokugawa Hidetada"
"Sir Robert Munro, 6th Baronet","http://dbpedia.org/property/before","Sir Harry Munro, 7th Baronet"
"Sir Robert Munro, Bt","http://dbpedia.org/property/before","Sir Harry Munro, 7th Baronet"
"Victor Geoffrion","http://dbpedia.org/ontology/successor","Christophe-Alphonse Geoffrion"
"Richard Seddon","http://dbpedia.org/ontology/predecessor","Thomas Seddon"
"Richard John Seddon","http://dbpedia.org/ontology/predecessor","Thomas Seddon"
"Richard Seddon","http://dbpedia.org/ontology/predecessor","Tom Seddon"
"Richard John Seddon","http://dbpedia.org/ontology/predecessor","Tom Seddon"
"Henry Williams","http://dbpedia.org/ontology/spouse","Hugh Carleton"
"Winston Churchill","http://dbpedia.org/ontology/primeMinister","Duncan Sandys"
"Sir Winston Churchill","http://dbpedia.org/ontology/primeMinister","Duncan Sandys"
"Winston Churchill","http://dbpedia.org/ontology/primeMinister","The Lord Duncan-Sandys"
"Sir Winston Churchill","http://dbpedia.org/ontology/primeMinister","The Lord Duncan-Sandys"
"Saddam Hussein","http://dbpedia.org/ontology/president","Watban Ibrahim al-Tikriti"
"Saddam Hussein","http://dbpedia.org/ontology/primeMinister","Watban Ibrahim al-Tikriti"
"Jeremiah Smith","http://dbpedia.org/ontology/child","Samuel Smith"
"Savumiamoorthy Thondaman","http://dbpedia.org/property/predecessor","Arumugam Thondaman"
"Samuel Livermore","http://dbpedia.org/ontology/child","Arthur Livermore"
"Robert Donatucci","http://dbpedia.org/ontology/successor","Ronald Donatucci"
"Robert Donatucci","http://dbpedia.org/ontology/successor","Ronald R. Donatucci"
"Luis Terrazas","http://dbpedia.org/ontology/predecessor","Enrique Creel"
"Gina de Venecia","http://dbpedia.org/ontology/predecessor","Christopher de Venecia"
"Maria Georgina Perez-de Venecia","http://dbpedia.org/ontology/predecessor","Christopher de Venecia"
"Gina de Venecia","http://dbpedia.org/ontology/predecessor","Christopher Vera Perez De Venecia"
"Maria Georgina Perez-de Venecia","http://dbpedia.org/ontology/predecessor","Christopher Vera Perez De Venecia"
"Louis Lavergne","http://dbpedia.org/ontology/successor","Joseph Lavergne"
"Marine Le Pen","http://dbpedia.org/ontology/successor","Jean-Marie Le Pen"
"Oliver Cromwell","http://dbpedia.org/ontology/predecessor","Richard Cromwell"
"Bob Brown","http://dbpedia.org/property/predecessor","Kelly Hoare"
"Bob Brown","http://dbpedia.org/property/before","Kelly Hoare"
"Alec Douglas-Home","http://dbpedia.org/ontology/predecessor","The Earl of Home"
"The Lord Home of the Hirsel","http://dbpedia.org/ontology/predecessor","The Earl of Home"
"Alec Douglas-Home","http://dbpedia.org/ontology/predecessor","David Douglas-Home, 15th Earl of Home"
"The Lord Home of the Hirsel","http://dbpedia.org/ontology/predecessor","David Douglas-Home, 15th Earl of Home"
"Köprülü Mehmed Pasha","http://dbpedia.org/ontology/predecessor","Ahmed"
"Mehmed","http://dbpedia.org/ontology/predecessor","Ahmed"
"Köprülü Mehmed Pasha","http://dbpedia.org/ontology/predecessor","Köprülü Fazıl Ahmed Pasha"
"Mehmed","http://dbpedia.org/ontology/predecessor","Köprülü Fazıl Ahmed Pasha"
"Hassanal Bolkiah","http://dbpedia.org/ontology/successor","Mohamed Bolkiah"
"(Jawi)","http://dbpedia.org/ontology/successor","Mohamed Bolkiah"
