has | of | person
-- | -- | --
- | dbpedia:ontology/president | :Melody_Barnes
- | dbpedia:ontology/president | :Michael_T._Flynn
- | dbpedia:ontology/president | :Mythili_Raman
- | dbpedia:ontology/president | :David_Hale_(diplomat)
- | dbpedia:ontology/president | :David_McKean_(diplomat)
- | dbpedia:ontology/president | :Janet_Napolitano
- | dbpedia:ontology/president | :Janet_Yellen
- | dbpedia:ontology/president | :John_Kirby_(admiral)
- | dbpedia:ontology/president | :Matthew_Barzun
- | dbpedia:ontology/appointer | :Nancy_Moritz
- | dbpedia:ontology/president | :Adrienne_Thomas
- | dbpedia:ontology/president | :Aneesh_Chopra
- | dbpedia:ontology/president | :Anthony_W._Miller
- | dbpedia:ontology/president | :Daniel_Poneman
- | dbpedia:ontology/president | :Jamie_M._Morin
- | dbpedia:ontology/president | :Jeffrey_L._Bleich
- | dbpedia:ontology/president | :Jim_Messina_(political_staffer)
- | dbpedia:ontology/president | :Julius_Genachowski
- | dbpedia:ontology/president | :Matthew_G._Olsen
- | dbpedia:ontology/president | :Mona_Sutphen
- | dbpedia:ontology/knownFor | :Orly_Taitz
- | dbpedia:ontology/president | :Rosa_Gumataotao_Rios
- | dbpedia:ontology/president | :Timothy_Geithner
- | dbpedia:ontology/president | :Todd_Stern
- | dbpedia:ontology/president | :W._Scott_Gould
- | dbpedia:ontology/appointer | :John_W._deGravelles
